id,1000G population code,population,1000G superpopulation code,latitude,longitude,GTM axis 1,GTM axis 2,t-SNE axis 1,t-SNE axis 2,Principal component 1,Principal component 2
HG00339,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.658500430366720124e-01,9.999999999996539435e-01,-4.756188201904296875e+01,3.514223098754882812e+01,-1.691692307559270958e+01,3.435538538690642696e+01
HG00341,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.327881010407372164e-01,9.999999948246430792e-01,-4.534931945800781250e+01,3.796929931640625000e+01,-1.325265795180418316e+01,3.836842533498393948e+01
HG00342,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.931632283093915214e-01,1.000000000000000222e+00,-4.973717498779296875e+01,2.954732322692871094e+01,-1.491925530361046448e+01,3.696718925761617669e+01
HG00343,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.569192259511131171e-01,9.999999999999946709e-01,-4.628619766235351562e+01,3.026057243347167969e+01,-1.582092150077675541e+01,3.682607633851662854e+01
HG00344,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.333272844114481215e-01,9.999999913580153166e-01,-4.540305328369140625e+01,3.767016983032226562e+01,-1.510095941504040340e+01,3.806084592918629284e+01
HG00345,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.429586808389096575e-01,1.000000000000000000e+00,-4.714138412475585938e+01,3.057810592651367188e+01,-1.548184624973199597e+01,3.638386654838808454e+01
HG00346,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.704773465937214461e-01,9.999999999964245267e-01,-4.489044189453125000e+01,3.298543548583984375e+01,-1.694733397678844966e+01,3.752649245568576930e+01
HG00349,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.027690605163091186e-01,9.999999999997478684e-01,-4.612892532348632812e+01,3.086383056640625000e+01,-1.575786596159680641e+01,3.616848148379382621e+01
HG00350,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.293957282293991318e-01,9.999999999695177166e-01,-4.329666137695312500e+01,3.664962768554687500e+01,-1.547623021914171915e+01,3.975100019363708270e+01
HG00351,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.905175996330082500e-01,9.999999999418985874e-01,-4.396903228759765625e+01,3.191357040405273438e+01,-1.678089862019426448e+01,3.474695608214933173e+01
HG00353,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.690478475248604173e-01,9.999999999999481526e-01,-4.363716888427734375e+01,3.267428970336914062e+01,-1.780457044121932952e+01,3.674940826924637349e+01
HG00355,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.494829509753684338e-01,9.999999999008339913e-01,-4.366849136352539062e+01,3.514901351928710938e+01,-1.530522809043402255e+01,3.813222438623991195e+01
HG00356,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.922530473742211976e-01,9.999997745674461536e-01,-4.342391204833984375e+01,3.483793640136718750e+01,-1.789036381356642735e+01,3.633857880647953920e+01
HG00357,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.682454827103872619e-01,9.999999999995349276e-01,-4.595767211914062500e+01,3.406570816040039062e+01,-1.854746097068901634e+01,3.797050976062178762e+01
HG00358,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.980646279031012424e-01,9.999999999999996669e-01,-4.840639877319335938e+01,2.944246101379394531e+01,-1.611128097836047601e+01,3.568686068210664075e+01
HG00360,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.636865559119902835e-01,9.999999999951731944e-01,-4.424994659423828125e+01,3.375074005126953125e+01,-1.508849456360290020e+01,3.803348095328017564e+01
HG00361,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.999936143062146954e-01,9.999999999999998890e-01,-5.017470169067382812e+01,2.779691696166992188e+01,-1.606925098794158302e+01,3.726889811954315945e+01
HG00362,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.645540922017343144e-01,9.999999999708558684e-01,-4.438909530639648438e+01,3.597205734252929688e+01,-1.493604179586373171e+01,3.639928291152536843e+01
HG00364,FIN,Finnish in Finland,EUR,61.9241,25.7482,-7.946789865302825717e-01,9.999999988255775518e-01,-4.581844711303710938e+01,3.605105590820312500e+01,-1.413113846470539947e+01,3.797258816822202476e+01
HG00365,FIN,Finnish in Finland,EUR,61.9241,25.7482,-9.896312711781356519e-01,9.999999999999987788e-01,-4.882767868041992188e+01,2.997922325134277344e+01,-1.654964394361834223e+01,3.744792755608412449e+01
HG00366,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.687696483077924636e-01,9.999999999965416553e-01,-4.662953186035156250e+01,3.429210281372070312e+01,-1.785439551479272779e+01,3.797558880390430147e+01
HG00367,FIN,Finnish in Finland,EUR,61.9241,25.7482,-8.791611522832467607e-01,9.999999998946017543e-01,-4.764449691772460938e+01,3.430234146118164062e+01,-1.726152650578806913e+01,3.492917810194327188e+01
